"database","workload","nodes","threads","duration","throughput","readOperationCount","readAvgLatency","readMinLatency","readMaxLatency","readPer95Latency","readPer99Latency","insertOperationCount","insertAvgLatency","insertMinLatency","insertMaxLatency","insertPer95Latency","insertPer99Latency","updateOperationCount","updateAvgLatency","updateMinLatency","updateMaxLatency","updatePer95Latency","updatePer99Latency","rmwOperationCount","rmwAvgLatency","rmwMinLatency","rmwMaxLatency","rmwPer95Latency","rmwPer99Latency"
"CockroachDB","F",1,66,60,1.58095,2813,479954.711,537,78512127,378367,16719871,0,0,0,0,0,0,1367,49379333.36,47328,1772093439,2615295,1688207359,1368,50788696.13,48384,1777336319,3082239,1717567487
"CockroachDB","D",1,66,60,87.178902,5072,550640.196,415,13787135,2105343,4227071,280,4299840,728576,9863167,7962623,9527295,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","A",3,3,60,6.774752,180,128145.5167,746,3389439,386303,518399,0,0,0,0,0,0,227,161582.0264,40768,1509375,475647,815615,0,0,0,0,0,0
"CockroachDB","B",3,3,60,33.125604,1906,28171.6957,602,540671,253823,350207,0,0,0,0,0,0,82,74798.2439,35776,888319,100991,441855,0,0,0,0,0,0
"CockroachDB","C",3,3,60,46.245375,2775,21557.37045,659,859135,66175,335615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","F",3,3,60,1.253495,78,758261.2051,1067,6868991,4468735,4931583,0,0,0,0,0,0,36,75212.88889,37312,273151,251007,273151,36,1016900.444,43328,6967295,4263935,6967295
"CockroachDB","D",3,3,60,3.03478,176,250655.7898,857,5599231,427519,3651583,13,1384793.846,50336,5603327,5066751,5603327,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","A",3,12,60,19.616644,588,142948.7857,695,4685823,571391,3606527,0,0,0,0,0,0,592,262046.7838,39520,9920511,708607,1740799,0,0,0,0,0,0
"CockroachDB","B",3,12,60,55.022892,3181,66472.27759,536,5169151,237183,654335,0,0,0,0,0,0,136,209616.8235,42624,911359,629247,858623,0,0,0,0,0,0
"CockroachDB","C",3,12,60,84.019934,5058,47438.59767,581,2494463,217215,591359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","F",3,12,60,17.404037,1046,171320.0392,678,6955007,590847,4198399,0,0,0,0,0,0,540,111737.6296,38336,379903,231295,287999,540,300370.0148,41568,7061503,733695,4468735
"CockroachDB","D",3,12,60,21.522711,1223,164664.0589,642,7380991,542719,4345855,72,531954.6667,41664,5144575,4163583,5046271,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","A",3,21,60,33.354384,1003,108371.1107,609,4894719,521471,2539519,0,0,0,0,0,0,1004,308697.3546,44448,5738495,817151,4095999,0,0,0,0,0,0
"CockroachDB","B",3,21,60,71.743819,4108,83073.92016,533,6381567,297727,770559,0,0,0,0,0,0,216,362810.3704,40800,5955583,1134591,1553407,0,0,0,0,0,0
"CockroachDB","C",3,21,60,99.621627,6003,70027.2019,496,6778879,335871,738815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","F",3,21,60,35.232247,2117,114823.4398,612,7061503,444415,3330047,0,0,0,0,0,0,1069,164624.9579,36896,859135,395007,543743,1069,265650.739,44544,5849087,609279,1711103
"CockroachDB","D",3,21,60,66.601371,3803,92076.4507,486,6295551,303615,965119,209,333190.2775,37504,3153919,1040895,1593343,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","A",3,30,60,47.163386,1421,95127.17734,565,6541311,379647,1533951,0,0,0,0,0,0,1418,326323.0014,51424,10510335,804351,3143679,0,0,0,0,0,0
"CockroachDB","B",3,30,60,102.60956,5875,78813.62757,490,6283263,299263,777215,0,0,0,0,0,0,318,429541.1321,43648,5988351,1498111,2121727,0,0,0,0,0,0
"CockroachDB","C",3,30,60,106.386507,6415,93530.16134,547,9535487,380927,773119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","F",3,30,60,56.035629,3372,87370.71056,532,9633791,197759,856575,0,0,0,0,0,0,1701,178847.5109,38080,853503,414719,574463,1701,266948.0353,48192,6094847,585215,1239039
"CockroachDB","D",3,30,60,170.162899,9759,42742.55231,475,5595135,208767,624127,478,380417.0042,46208,1849343,1131519,1543167,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","A",3,39,60,37.648872,1528,96852.83115,541,9969663,443647,1601535,0,0,0,0,0,0,1453,550933.4948,37120,43024383,702463,6045695,0,0,0,0,0,0
"CockroachDB","B",3,39,60,169.432126,9683,58890.89187,480,7274495,214783,596479,0,0,0,0,0,0,518,402873.2973,54144,6303743,1238015,1695743,0,0,0,0,0,0
"CockroachDB","C",3,39,60,308.872015,18549,41904.53679,472,3852287,218751,454143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","F",3,39,60,51.160044,4419,57325.39964,501,6479871,161535,851455,0,0,0,0,0,0,2198,355277.485,32528,45613055,341759,950783,2198,408445.1902,33312,45678591,528383,1512447
"CockroachDB","D",3,39,60,211.422113,12099,46748.78759,475,5963775,140415,560639,621,341743.8454,43072,1939455,875519,1436671,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","A",3,48,60,22.349993,1147,142582.7803,679,10297343,670207,4427775,0,0,0,0,0,0,1127,1077306.279,47424,74383359,997375,40271871,0,0,0,0,0,0
"CockroachDB","B",3,48,60,179.8047,10393,67441.96007,465,6529023,221695,844799,0,0,0,0,0,0,526,493678.2966,48224,17170431,1378303,5382143,0,0,0,0,0,0
"CockroachDB","C",3,48,60,218.676927,13186,72675.52093,420,9592831,343551,612863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
